country,year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent
Azerbaijan,2000,98.908226,70.3,113.51,2.07,16.13,0.0,1.52,8.611898,16123.289,14.46,27690.0,3.446014,11.0999995,655.1199452,123,86600.0,40.143105,47.576927,AZE,8190341.0,34255706112.0,,,,,0.0,0.0,0.0,,617.773,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,19.17,2340.562,18.68,14.476,4.513,5.702,16123.289,3.855,4.61,5.619,2095.151,17.16,15569.463,127.519,91.863,96.565,-3.341,-1.826,52.829,452.973,3.71,6450.116,-5.717,-3.125,6291.545,51.53,19.861,40.005,11.54,1.859,0.083,4.536,185.584,1.52,553.826,8.137,3.435,1.859,0.083,4.536,185.584,1.52,553.826,8.137,3.435,0.49,2.556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.072,7.445,74.691,1642.178,13.45,9119.347,1.574,2.535,19977.492,163.622,72.002,56.56,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2280.735,132.055,1.859,0.083,4.536,185.584,1.52,553.826,8.137,3.435,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2001,98.6218,73.6,113.82,1.75,16.61,0.0,1.29,7.206704,15361.87,13.33,26400.0,3.0117817,9.90000013,703.6838434,123,86600.0,40.143105,47.576927,AZE,8282030.0,36862177280.0,,,,,0.0,0.0,0.0,,648.734,,0.035,4.213,0.035,0.0,0.0,,0.0,0.0,0.0,0.0,0.027,19.64,2371.399,18.96,15.205,-3.656,-4.828,15361.87,3.451,-3.226,-4.114,2133.535,17.67,14900.381,123.405,93.196,96.996,43.438,22.948,75.776,1360.778,11.27,9149.496,-1.971,-1.016,6099.271,50.514,59.441,59.56,12.3,-15.189,-0.714,3.822,155.759,1.29,461.489,6.804,3.004,-15.189,-0.714,3.822,155.759,1.29,461.489,6.804,3.004,0.68,3.462,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.278,-27.096,47.594,772.757,6.4,5746.673,6.468,10.583,21034.189,174.206,33.755,37.409,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2289.294,127.227,-15.189,-0.714,3.822,155.759,1.29,461.489,6.804,3.004,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2002,100.0,76.8,112.84,2.35,16.47,0.0,2.0,10.828371,15003.191,12.31,26180.00031,4.7006664,9.438916342,763.080638,123,86600.0,40.143105,47.576927,AZE,8372128.0,40295215104.0,,,,,0.0,0.0,0.0,,623.662,-33.333,-0.012,2.778,0.023,0.0,0.0,,0.0,0.0,0.0,0.0,0.019,20.13,2404.406,18.68,15.348,-1.272,-1.619,15003.191,3.117,-2.992,-3.693,1992.325,16.68,14298.943,119.713,89.293,95.306,0.284,0.215,75.991,1300.745,10.89,9076.691,-7.249,-3.662,5596.244,46.852,58.298,60.498,11.65,55.265,2.074,5.896,238.888,2.0,704.247,10.707,4.694,55.265,2.074,5.896,238.888,2.0,704.247,10.707,4.694,1.45,7.203,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.186,-3.896,43.698,691.58,5.79,5219.474,2.37,4.129,21300.965,178.334,30.996,34.789,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2231.213,125.609,55.265,2.074,5.896,238.888,2.0,704.247,10.707,4.694,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2003,98.92747,80.3,116.01,2.94,17.69,0.0,2.44,12.121213,16075.374,11.74,28569.99969,5.2779026,10.20830001,883.7339715,123,86600.0,40.143105,47.576927,AZE,8462335.0,44994637824.0,,,,,0.0,0.0,0.0,,615.24,50.0,0.012,4.123,0.035,0.0,0.0,,0.0,0.0,0.0,0.0,0.026,22.83,2697.837,21.26,16.19,8.301,10.427,16075.374,3.023,7.651,9.159,2223.972,18.82,15228.88,128.872,88.523,94.734,2.544,1.933,77.925,1325.875,11.22,9208.416,-0.313,-0.146,5519.28,46.706,52.775,57.283,13.08,22.277,1.267,7.163,288.336,2.44,846.493,11.477,5.266,22.277,1.267,7.163,288.336,2.44,846.493,11.477,5.266,1.57,6.877,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.509,7.214,50.912,898.097,7.6,6016.342,0.287,0.512,21134.373,178.846,35.748,37.426,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2512.309,136.035,22.277,1.267,7.163,288.336,2.44,846.493,11.477,5.266,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2004,99.0748,82.9,114.81,3.07,17.76,0.0,2.73,13.323572,17986.783,11.3,28309.99947,5.1585817,9.253801326,1045.009379,123,86600.0,40.143105,47.576927,AZE,8556168.0,50107478016.0,,,,,0.0,0.0,0.0,,611.879,-69.333,-0.024,1.251,0.011,0.0,0.0,,0.0,0.0,0.0,0.0,0.007,23.09,2698.638,21.72,14.608,13.131,17.863,17986.783,3.071,13.259,17.087,2219.451,18.99,17058.92,145.959,87.431,94.841,17.261,13.45,91.375,1500.672,12.84,10679.451,-2.572,-1.201,5318.374,45.505,59.116,59.374,13.29,11.538,0.776,7.939,319.068,2.73,927.863,12.569,5.159,11.538,0.776,7.939,319.068,2.73,927.863,12.569,5.159,1.37,5.933,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19,3.661,54.573,718.78,6.15,6378.218,0.527,0.942,21012.697,179.788,28.315,35.461,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2538.519,153.898,11.538,0.776,7.939,319.068,2.73,927.863,12.569,5.159,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2005,99.221596,85.2,113.6,3.36,17.12,0.0,2.98,14.8258705,19273.648,9.28,30040.00092,5.1650033,27.96153807,1578.40239,123,86600.0,40.143105,47.576927,AZE,8656243.0,64019173376.0,,,,,0.0,0.0,0.0,,609.895,250.0,0.027,4.326,0.037,0.0,0.0,,0.0,0.0,0.0,0.0,0.022,24.04,2777.187,22.84,14.169,8.408,12.939,19273.648,2.606,8.4,12.261,2294.298,19.86,18278.164,158.22,86.953,94.835,3.293,3.009,94.384,1616.175,13.99,10903.606,23.006,10.469,6466.31,55.974,61.252,56.573,13.93,9.234,0.678,8.617,344.26,2.98,995.485,13.047,5.165,9.234,0.678,8.617,344.26,2.98,995.485,13.047,5.165,1.2,4.992,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.905,9.225,63.799,678.123,5.87,7370.23,43.698,78.563,29845.643,258.351,25.701,38.24,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2638.558,166.837,9.234,0.678,8.617,344.26,2.98,995.485,13.047,5.165,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2006,99.5,87.4,118.77,2.86,19.83,0.0,2.49,11.155914,18724.746,6.8,30489.99977,4.3662996,34.5,2473.081819,123,86600.0,40.143105,47.576927,AZE,8763353.0,87026409472.0,,,,,0.0,0.0,0.0,,630.763,0.0,0.0,4.273,0.037,0.0,0.0,,0.0,0.0,0.0,0.0,0.023,25.4,2898.434,24.51,15.375,-1.646,-2.746,18724.746,1.886,-0.817,-1.293,2512.737,22.02,17907.168,156.927,89.841,95.634,5.713,5.393,99.777,1815.515,15.91,11385.688,17.992,10.071,7536.454,66.045,64.912,60.806,15.46,-16.329,-1.452,7.165,284.138,2.49,817.578,10.159,4.366,-16.329,-1.452,7.165,284.138,2.49,817.578,10.159,4.366,0.89,3.504,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.48,-6.686,57.113,697.222,6.11,6517.206,45.257,116.921,42822.902,375.272,24.929,34.805,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2796.875,164.092,-16.329,-1.452,7.165,284.138,2.49,817.578,10.159,4.366,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2007,99.52345,89.4,117.5,3.78,18.31,0.0,2.34,11.331718,17015.564,5.13,27629.99916,4.50297,25.0,3851.437869,123,86600.0,40.143105,47.576927,AZE,8878408.0,109944250368.0,,,,,0.0,0.0,0.0,,631.072,55.917,0.021,6.577,0.058,0.0,0.0,,0.0,0.0,0.0,0.0,0.039,21.58,2430.616,21.82,14.871,-7.935,-13.02,17015.564,1.374,-7.991,-12.54,2194.087,19.48,16262.671,144.387,89.276,95.575,-11.954,-11.927,87.85,1744.682,15.49,9894.755,60.158,39.731,11913.786,105.775,70.99,58.151,13.77,-6.116,-0.48,6.684,263.561,2.34,752.894,10.724,4.425,-6.116,-0.48,6.684,263.561,2.34,752.894,10.724,4.425,-0.24,-1.112,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.11,-0.634,56.479,449.405,3.99,6361.339,32.199,120.835,55877.895,496.107,18.286,37.385,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2457.648,151.071,-6.116,-0.48,6.684,263.561,2.34,752.894,10.724,4.425,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2008,99.68387,90.7,116.2,3.08,18.24,0.0,2.21,10.806846,16933.111,5.15,30450.00076,4.1847568,10.75897816,5574.603802,123,86600.0,40.143105,47.576927,AZE,8999697.0,123129995264.0,,,,,0.0,0.0,0.0,,639.685,-22.36,-0.013,5.037,0.045,0.0,0.0,,0.0,0.0,0.0,0.0,0.03,21.02,2335.634,21.62,14.697,0.061,0.092,16796.51,1.228,0.35,0.505,2156.739,19.41,16099.592,144.891,89.778,95.851,14.409,12.658,100.508,1965.622,17.69,11167.901,50.816,53.75,17725.697,159.526,81.822,66.489,13.83,-5.584,-0.412,6.272,245.564,2.21,696.918,10.222,4.149,-5.584,-0.412,6.272,245.564,2.21,696.918,10.222,4.149,-0.6,-2.854,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.495,-12.14,44.338,191.118,1.72,4926.654,4.493,22.289,57601.453,518.396,7.956,29.331,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2402.303,151.163,-5.584,-0.412,6.272,245.564,2.21,696.918,10.222,4.149,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Asia
Azerbaijan,2009,99.854225,92.1,110.83,3.27,15.57,0.0,2.29,12.821948,14348.922,4.21,25500.0,4.8711276,9.296363473,4950.294791,123,86600.0,40.143105,47.576927,AZE,9119630.0,136020230144.0,,,,,0.0,0.0,0.0,,629.178,8.517,0.004,5.394,0.049,0.0,0.0,,0.0,0.0,0.0,0.0,0.038,18.58,2037.363,18.85,14.96,-13.889,-20.995,14273.418,0.957,-14.615,-21.176,1815.863,16.56,13565.871,123.716,87.851,95.043,-14.614,-14.688,85.82,1761.036,16.06,9410.444,-0.084,-0.135,17477.811,159.391,85.199,65.93,11.86,3.423,0.175,6.447,251.107,2.29,706.903,12.149,4.953,3.517,0.181,6.453,251.107,2.29,707.546,12.149,4.957,-0.27,-1.453,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.641,-6.492,37.847,54.827,0.5,4150.033,13.241,68.639,64370.453,587.035,2.653,29.075,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066.97,130.168,3.517,0.181,6.453,251.107,2.29,707.546,12.149,4.957,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.006,0.006,0.0,0.0,0.643,0.0,0.005,Asia
