country,year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density_(P/Km2),Land Area(Km2),Latitude,Longitude,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy;;;;;;;;;;;;,continent
Argentina,2000.0,95.78329,95.0,235.62,9.85,50.37,5.99,28.89,40.914955,18849.81,3.69,132270.0,12.283858,-0.788998939,7708.099115,17.0,2780400.0,-38.416097,-63.616672,ARG,37070772.0,536480972800.0,,,,,10.52,0.39,0.438,,355.473,-24.003,-2.373,202.657,7.513,48.016,1.78,-22.917,-0.506,45.9,1.702,2.0,1.075,90.2,2433.184,88.98,14.11,0.389,2.711,18849.811,1.303,-2.661,-16.276,1451.278,53.8,16061.652,595.418,60.463,85.209,2.627,8.266,322.967,1318.559,48.88,8712.18,8.215,27.619,9813.991,363.812,54.934,46.219,31.63,33.549,21.227,84.497,770.958,28.58,2279.334,32.12,12.092,22.13,18.986,103.359,948.996,35.18,2788.158,39.537,14.791,1.22,1.353,-13.073,-2.636,17.527,166.708,6.18,472.807,6.945,2.508,-7.721,-22.169,264.938,84.703,3.14,7146.815,-0.819,-3.97,12971.705,480.871,3.529,37.915,1.232,0.386,,47.339,0.396,10.413,,33.241,0.434,,0.176,2400.274,698.777,33.662,21.622,85.832,782.287,29.0,2315.351,32.592,12.283,38.462,0.0,0.0,0.0,0.0,0.003,0.0,0.0,-0.066,-0.0,0.103,0.809,0.03,2.773,0.034,0.015;;;;;;;;;;;;,South America
Argentina,2001.0,95.51106,95.6,234.09,11.51,42.91,6.54,37.04,50.38733,18210.12,3.59,125260.0,15.937488,-4.408839683,7208.373114,17.0,2780400.0,-38.416097,-63.616672,ARG,37480492.0,514867265536.0,,,,,9.605,0.36,0.399,,302.086,-18.047,-1.356,164.268,6.157,36.286,1.36,-28.185,-0.48,32.603,1.222,1.509,0.902,91.89,2451.675,90.14,15.076,-2.326,-16.253,18210.119,1.326,-6.98,-41.562,1229.706,46.09,14777.17,553.856,51.132,81.148,-6.384,-20.617,302.35,1154.2,43.26,8066.87,-0.722,-2.626,9636.653,361.186,47.992,44.299,27.23,28.014,22.968,107.465,975.974,36.58,2867.219,40.581,15.745,25.242,25.309,128.669,1175.278,44.05,3432.95,48.868,18.852,1.75,1.904,14.279,2.373,19.9,188.365,7.06,530.942,7.832,2.916,-7.394,-19.589,245.349,39.22,1.47,6546.032,6.244,30.025,13630.991,510.896,1.631,35.947,1.159,0.363,,-5.966,-0.074,9.685,,30.916,0.403,,0.17,2404.984,682.524,27.578,22.937,108.769,986.913,36.99,2902.009,41.036,15.936,19.444,0.0,0.0,0.0,0.0,0.003,0.0,0.0,42.013,0.042,0.145,1.334,0.05,3.869,0.055,0.021;;;;;;;;;;;;,South America
Argentina,2002.0,96.22887,96.1,236.78,11.62,39.7,5.39,36.06,51.07825,17275.256,3.99,117470.0012,16.249306,-10.89448483,2593.404563,17.0,2780400.0,-38.416097,-63.616672,ARG,37885024.0,460558532608.0,,,,,13.99,0.53,0.627,,294.834,-25.509,-1.571,121.058,4.586,21.38,0.81,-75.269,-0.92,7.977,0.302,0.958,0.701,90.51,2389.071,84.59,14.736,-4.11,-28.051,17275.256,1.421,-3.977,-22.025,1118.912,42.39,14038.02,531.831,50.112,81.261,-2.638,-7.975,294.376,1074.567,40.71,7770.24,-2.773,-10.017,9269.355,351.17,48.126,44.979,24.94,-2.191,-3.032,104.433,944.436,35.78,2756.564,42.298,15.957,-4.196,-6.026,122.643,1113.897,42.2,3237.236,49.888,18.739,5.92,6.541,-17.538,-3.596,16.304,153.623,5.82,430.356,6.88,2.491,-5.087,-12.48,232.869,22.964,0.87,6146.721,-1.491,-7.619,13284.333,503.277,1.028,35.581,1.692,0.53,,46.001,0.533,13.989,,44.656,0.627,,0.258,2232.808,654.474,-1.65,-2.43,106.339,960.274,36.38,2806.88,43.007,16.248,9.302,0.0,0.0,0.0,0.0,0.004,0.0,0.0,48.711,0.069,0.214,1.848,0.07,5.655,0.083,0.033;;;;;;;;;;;;,South America
Argentina,2003.0,96.442635,96.45,234.82,10.82,46.73,7.03,34.38,46.982075,18326.521,3.97,127660.0037,14.408259,8.837040796,3349.8063,17.0,2780400.0,-38.416097,-63.616672,ARG,38278164.0,503104143360.0,,,,,22.99,0.88,0.956,,316.39,21.969,1.008,146.137,5.594,24.557,0.94,93.478,0.282,15.275,0.585,1.021,0.797,97.1,2536.694,92.07,14.809,7.186,47.032,18326.521,1.394,8.942,47.556,1299.435,49.74,15136.219,579.387,54.024,82.592,14.239,41.915,336.29,1247.448,47.75,8785.439,13.653,47.944,10426.675,399.114,51.863,47.938,29.13,-5.529,-6.407,98.026,883.01,33.8,2560.882,36.711,13.974,0.289,-0.524,122.119,1105.852,42.33,3190.303,45.976,17.408,5.03,5.18,29.978,4.752,21.056,197.763,7.57,550.073,8.222,3.002,1.99,4.634,237.502,27.431,1.05,6204.642,-0.416,-2.094,13093.195,501.183,1.14,33.856,2.811,0.881,,66.157,1.119,23.005,,73.437,0.956,,0.401,2405.288,701.506,-4.461,-5.276,101.063,908.09,34.76,2640.23,37.754,14.407,38.298,0.0,0.0,0.0,0.0,0.005,0.0,0.0,6.197,0.012,0.226,2.09,0.08,5.906,0.087,0.032;;;;;;;;;;;;,South America
Argentina,2004.0,96.6535,97.2,236.15,9.29,57.35,7.31,31.03,40.066883,19261.457,4.04,141380.0049,12.1855755,9.029573301,4277.721573,17.0,2780400.0,-38.416097,-63.616672,ARG,38668796.0,550306316288.0,,,,,22.499,0.87,0.868,,357.67,70.183,3.926,246.189,9.52,43.446,1.68,-42.697,-0.25,8.665,0.335,1.676,1.278,103.73,2682.525,100.26,14.929,6.174,43.312,19261.457,1.353,9.132,52.911,1577.241,60.99,16351.621,632.297,60.832,84.893,9.456,31.801,368.091,1427.766,55.21,9519.077,9.357,37.344,11287.085,436.458,55.067,49.42,35.86,-9.876,-10.244,87.782,787.715,30.46,2270.1,30.381,11.786,-7.215,-9.599,112.52,1015.547,39.27,2909.835,39.168,15.107,3.47,3.345,4.005,0.704,21.76,203.523,7.87,562.715,7.85,2.921,7.235,17.184,254.686,106.029,4.1,6586.355,-4.799,-24.053,12338.902,477.13,4.089,34.194,2.769,0.868,,-1.486,-0.042,22.434,,71.615,0.865,,0.372,2592.788,744.817,-9.657,-10.303,90.76,812.024,31.4,2347.119,31.319,12.186,7.692,0.0,0.0,0.0,0.0,0.005,0.0,0.0,-7.066,-0.017,0.209,1.81,0.07,5.399,0.07,0.028;;;;;;;;;;;;,South America
Argentina,2005.0,96.863846,97.5,234.67,9.64,59.89,6.37,34.6,40.620663,20232.844,3.68,145990.0055,12.788524,8.85165992,5109.852245,17.0,2780400.0,-38.416097,-63.616672,ARG,39070504.0,601050382336.0,,,,,23.547,0.92,0.87,,357.163,15.146,1.442,280.561,10.962,55.797,2.18,-50.98,-0.171,4.204,0.164,2.061,1.387,109.63,2805.953,105.75,14.84,6.134,45.69,20232.844,1.315,6.044,38.219,1629.618,63.67,17161.695,670.516,60.208,84.821,6.737,24.799,392.89,1425.628,55.7,10055.924,1.671,7.294,11357.718,443.752,52.671,49.701,37.77,12.323,10.193,97.975,875.853,34.22,2507.645,32.359,12.394,7.145,7.471,119.991,1077.027,42.08,3071.147,39.792,15.179,3.88,3.539,-12.657,-2.874,18.885,175.836,6.87,483.359,6.496,2.389,4.703,11.978,266.664,148.194,5.79,6825.212,-4.038,-19.268,11718.875,457.862,5.475,33.733,2.926,0.916,,5.647,0.156,23.458,,74.881,0.867,,0.37,2706.646,790.507,12.107,10.346,101.106,901.191,35.21,2587.788,33.296,12.79,15.714,0.0,0.0,0.0,0.0,0.006,0.0,0.0,-1.003,-0.003,0.205,1.792,0.07,5.256,0.066,0.026;;;;;;;;;;;;,South America
Argentina,2006.0,97.07606,98.1,232.56,9.18,65.58,7.15,38.67,41.131058,21038.723,3.58,154899.9939,13.449462,8.0471515,5919.012338,17.0,2780400.0,-38.416097,-63.616672,ARG,39476856.0,652296781824.0,,,,,26.598,1.05,0.926,,349.907,-9.468,-1.038,251.383,9.924,50.409,1.99,463.999,0.762,23.465,0.926,1.754,1.195,115.79,2933.111,113.43,15.233,5.064,40.035,21038.723,1.273,4.062,27.238,1686.304,66.57,17675.01,697.754,58.688,84.012,3.465,13.615,406.505,1428.685,56.4,10297.3,1.03,4.571,11356.59,448.322,49.722,48.945,39.69,11.103,10.194,108.169,963.096,38.02,2740.053,33.518,13.024,11.348,12.798,132.789,1187.025,46.86,3363.714,41.312,15.988,2.36,2.038,12.338,2.197,21.082,195.558,7.72,534.027,6.806,2.538,5.498,14.661,281.325,207.21,8.18,7126.328,0.163,0.745,11617.129,458.608,7.211,33.872,3.34,1.046,,14.164,0.414,26.504,,84.607,0.922,,0.402,2873.329,830.543,11.154,10.601,111.707,991.467,39.14,2829.686,34.506,13.45,11.111,0.0,0.0,0.0,0.0,0.006,0.0,0.0,-2.9,-0.007,0.198,1.773,0.07,5.019,0.062,0.024;;;;;;;;;;;;,South America
Argentina,2007.0,97.29279,98.3,236.6,7.72,72.95,6.72,31.18,34.19035,21708.37,3.44,162809.9976,10.599154,9.007650875,7245.446857,17.0,2780400.0,-38.416097,-63.616672,ARG,39876116.0,714725195776.0,,,,,26.833,1.07,0.943,,388.037,44.706,4.437,360.124,14.36,58.682,2.34,-21.986,-0.204,18.123,0.723,2.061,1.659,121.12,3037.407,113.52,14.303,4.226,35.103,21708.369,1.211,8.074,56.337,1853.741,73.92,18910.846,754.091,65.116,87.113,5.072,20.617,427.122,1509.174,60.18,10711.224,-2.755,-12.351,10933.154,435.972,53.013,49.341,44.05,-17.875,-19.89,88.279,782.925,31.22,2213.825,27.502,10.198,-15.465,-21.234,111.554,993.076,39.6,2797.524,34.884,12.887,7.6,6.275,-6.048,-1.399,19.683,181.813,7.25,493.599,6.387,2.274,11.12,31.284,312.609,285.885,11.4,7839.497,-3.091,-14.173,11145.376,444.434,10.042,36.113,3.418,1.071,,2.346,0.078,26.854,,85.725,0.943,,0.395,2846.817,865.645,-17.323,-19.836,91.872,811.263,32.35,2303.925,28.497,10.613,21.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,-11.555,-0.024,0.174,1.505,0.06,4.368,0.053,0.02;;;;;;;;;;;;,South America
Argentina,2008.0,97.516754,98.6,234.79,7.65,76.62,6.85,31.28,33.22876,21780.38,3.42,167229.9957,10.437064,4.057233103,9020.873323,17.0,2780400.0,-38.416097,-63.616672,ARG,40273768.0,747157389312.0,,,,,30.044,1.21,0.993,,400.623,21.975,3.156,434.925,17.516,48.17,1.94,46.364,0.335,26.263,1.058,1.591,1.997,127.39,3163.101,121.91,15.136,1.332,11.533,21780.381,1.174,1.526,11.508,2037.803,82.07,19009.867,765.599,67.32,87.28,1.116,4.765,431.887,1624.134,65.41,10723.785,-1.718,-7.488,10639.27,428.483,53.654,49.236,48.84,-0.066,-0.606,87.673,774.698,31.2,2176.925,25.593,9.995,0.593,0.025,111.579,989.23,39.84,2770.514,32.68,12.72,5.48,4.302,1.93,0.255,19.938,183.494,7.39,495.063,6.062,2.273,1.147,3.587,316.196,365.498,14.72,7851.157,-1.072,-4.765,10917.026,439.67,12.074,36.047,3.85,1.206,,12.619,0.431,29.945,,95.589,0.989,,0.439,3027.032,877.178,0.294,-0.231,91.641,805.735,32.45,2275.451,26.618,10.447,31.956,0.0,0.0,0.0,0.0,0.01,0.0,0.0,-31.89,-0.056,0.118,0.993,0.04,2.927,0.033,0.013;;;;;;;;;;;;,South America
Argentina,2009.0,97.750656,98.9,241.83,8.59,74.01,7.59,34.7,36.362854,20954.271,3.35,156570.0073,11.783506,-5.918525076,8225.137583,17.0,2780400.0,-38.416097,-63.616672,ARG,40684344.0,705920827392.0,,,,,29.25,1.19,0.973,,382.358,-45.074,-7.895,236.478,9.621,43.014,1.75,-49.068,-0.519,13.241,0.539,1.431,1.129,128.48,3157.971,122.32,15.803,-2.812,-24.667,20954.273,1.208,-4.649,-35.595,1924.328,78.29,17943.129,730.004,64.004,85.63,-3.133,-13.532,418.356,1516.554,61.7,10282.963,-5.945,-25.472,9905.823,403.012,50.441,49.073,46.77,10.957,9.006,96.679,850.942,34.62,2376.31,28.303,11.34,10.505,10.927,122.506,1082.234,44.03,3011.145,35.996,14.37,6.16,4.795,10.671,1.991,21.929,201.06,8.18,539.014,6.687,2.572,-4.481,-14.168,302.028,364.759,14.84,7423.688,-9.949,-43.742,9731.699,395.928,12.132,35.428,3.795,1.189,,-1.413,-0.054,29.223,,93.287,0.972,,0.445,3006.562,852.511,10.467,8.936,100.577,881.174,35.85,2472.131,29.308,11.798,-47.054,-0.0,0.0,0.0,0.0,0.005,0.0,0.0,-12.204,-0.015,0.103,0.983,0.04,2.528,0.033,0.012;;;;;;;;;;;;,South America
