country,year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density_(P/Km2),Land Area(Km2),Latitude,Longitude,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy;;;;;;;;;;;;,continent
Austria,2000.0,100.0,100.0,,26.44,16.41,0.0,43.44,72.58146,48863.28,3.22,63530.0,32.954258,3.375722147,24564.45829,109.0,83871.0,47.516231,14.550072,AUT,8010425.0,280410161152.0,,0.0,0.0,0.0,191.001,1.53,2.565,0.0,203.387,12.698,4.785,5301.851,42.47,714.069,5.72,10.18,0.33,446.094,3.573,9.591,10.747,58.27,7274.271,59.64,19.25,0.603,2.367,49332.055,1.409,-0.309,-0.825,2022.365,16.2,33253.867,266.378,27.163,67.408,-4.544,-3.722,78.205,979.973,7.85,9762.921,3.736,0.677,2345.875,18.791,13.162,19.79,12.13,2.793,3.361,123.708,5223.194,41.84,15443.321,70.154,31.305,2.562,3.192,128.793,5422.933,43.44,16078.19,72.837,32.592,-1.37,-2.351,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.279,-1.887,145.702,328.322,2.63,18189.092,5.634,0.679,1590.091,12.737,4.41,36.871,4.879,1.53,0.0,-4.298,-0.219,191.001,0.0,609.029,2.565,0.0,1.235,7445.298,395.171,2.562,3.192,128.793,5422.933,43.44,16078.19,72.837,32.592,50.0,0.003,0.009,0.0,0.0,1.107,0.0,0.002,31.373,0.047,0.198,8.739,0.07,24.733,0.117,0.05;;;;;;;;;;;;,Europe
Austria,2001.0,100.0,100.0,,25.53,18.82,0.0,42.24,69.17786,50421.105,3.36,67910.0,30.816513,1.267168189,24537.51426,109.0,83871.0,47.516231,14.550072,AUT,8039633.0,285335715840.0,,0.0,0.0,0.0,207.721,1.67,2.739,0.0,229.092,3.317,1.409,5457.835,43.879,857.004,6.89,-3.278,-0.117,429.905,3.456,11.299,10.792,61.2,7612.288,60.98,18.813,2.891,11.423,50573.637,1.425,5.827,15.522,2330.952,18.74,35063.773,281.9,30.731,69.332,5.98,4.677,82.882,1088.358,8.75,10309.173,-4.044,-0.76,2242.822,18.031,14.349,20.384,13.97,-3.299,-4.858,118.85,5032.568,40.46,14782.967,66.35,29.231,-2.61,-4.1,124.694,5253.971,42.24,15509.863,69.269,30.668,0.22,0.359,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.477,9.437,155.139,385.59,3.1,19296.764,1.632,0.208,1610.167,12.945,5.084,38.156,5.324,1.67,0.0,9.13,0.445,207.721,0.0,662.219,2.739,0.0,1.309,7584.923,406.593,-2.61,-4.1,124.694,5253.971,42.24,15509.863,69.269,30.668,66.667,0.006,0.015,1.244,0.01,1.827,0.016,0.004,156.716,0.307,0.505,12.438,0.1,62.851,0.164,0.124;;;;;;;;;;;;,Europe
Austria,2002.0,100.0,100.0,,24.68,18.79,0.0,41.9,69.03938,50254.64,3.33,69370.00275,30.325117,1.651553922,26401.74546,109.0,83871.0,47.516231,14.550072,AUT,8078994.0,291231432704.0,,0.0,0.0,0.0,188.142,1.52,2.507,0.0,226.126,1.597,0.701,5517.978,44.58,818.171,6.61,17.081,0.59,500.886,4.047,10.902,10.958,61.33,7591.292,60.63,18.607,0.058,0.235,50356.289,1.397,0.724,2.041,2318.358,18.73,35145.586,283.941,30.892,69.794,-1.685,-1.397,81.485,1152.371,9.31,10086.078,8.545,1.541,2422.612,19.572,15.355,20.029,13.71,-0.565,-1.434,117.416,4979.58,40.23,14533.488,66.353,28.861,-0.806,-1.806,122.887,5186.29,41.9,15210.699,69.108,30.206,0.7,1.141,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764,2.737,157.876,347.816,2.81,19541.531,3.359,0.435,1656.142,13.38,4.635,38.807,4.852,1.52,0.0,-8.836,-0.472,188.142,0.0,600.619,2.507,0.0,1.193,7504.647,406.828,-0.806,-1.806,122.887,5186.29,41.9,15210.699,69.108,30.206,80.0,0.012,0.026,1.238,0.01,3.252,0.016,0.006,18.023,0.087,0.593,17.329,0.14,73.341,0.231,0.146;;;;;;;;;;;;,Europe
Austria,2003.0,100.0,100.0,,22.56,22.82,0.0,35.24,60.695835,50523.203,3.48,74459.99908,25.140518,0.941470921,32222.89724,109.0,83871.0,47.516231,14.550072,AUT,8120105.0,294489292800.0,,0.0,0.0,0.0,203.199,1.65,2.846,0.0,282.387,6.658,2.968,5855.551,47.548,1039.395,8.44,-18.414,-0.745,406.586,3.302,14.559,11.662,63.58,7829.948,57.97,17.048,0.215,0.875,50209.152,1.384,7.349,20.867,2799.225,22.73,37537.383,304.807,39.21,74.762,9.995,8.144,89.63,1374.366,11.16,11037.999,11.223,2.197,2680.869,21.769,19.251,21.984,16.37,-17.431,-21.088,96.328,4089.849,33.21,11862.851,57.288,23.627,-15.852,-19.991,102.896,4339.846,35.24,12671.771,60.79,25.238,5.61,8.824,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.178,9.754,167.63,385.463,3.13,20643.83,-3.469,-0.464,1590.602,12.916,5.399,41.116,5.464,1.65,0.0,12.593,0.611,203.199,0.0,672.845,2.846,0.0,1.34,7139.07,407.704,-15.852,-19.991,102.896,4339.846,35.24,12671.771,60.79,25.238,66.667,0.017,0.044,1.232,0.01,5.357,0.017,0.011,80.296,0.469,1.061,45.566,0.37,130.718,0.638,0.26;;;;;;;;;;;;,Europe
Austria,2004.0,100.0,100.0,,23.17,22.31,0.0,39.62,63.975456,51139.312,3.44,75800.00305,27.633785,2.735120222,36821.52147,109.0,83871.0,47.516231,14.550072,AUT,8171215.0,303692480512.0,,0.0,0.0,0.0,233.747,1.91,3.088,0.0,259.337,-2.043,-0.971,5700.046,46.576,968.032,7.91,-79.601,-2.628,82.422,0.673,12.789,11.025,64.93,7946.187,61.85,17.832,3.619,14.754,51700.691,1.391,0.796,2.425,2720.526,22.23,37599.379,307.233,35.942,72.725,0.962,0.863,90.492,1340.07,10.95,11074.526,-5.281,-1.15,2523.415,20.619,17.704,21.42,16.04,10.68,9.609,105.936,4498.719,36.76,12964.547,59.434,25.076,12.621,12.329,115.225,4848.728,39.62,14101.312,64.058,27.275,3.08,4.744,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.512,2.534,170.164,412.423,3.37,20824.805,1.095,0.141,1597.968,13.057,5.449,40.28,6.574,1.91,0.0,20.317,1.111,233.747,0.0,804.559,3.088,0.0,1.556,7569.253,422.457,12.621,12.329,115.225,4848.728,39.62,14101.312,64.058,27.275,20.0,0.008,0.052,2.448,0.02,6.348,0.032,0.012,152.459,1.601,2.663,113.814,0.93,325.857,1.504,0.63;;;;;;;;;;;;,Europe
Austria,2005.0,100.0,100.0,,24.41,23.61,0.0,40.88,63.389675,51714.72,3.47,76239.99786,27.94786,2.244065325,38403.13388,109.0,83871.0,47.516231,14.550072,AUT,8227034.0,311441129472.0,,0.722,87.76,0.722,295.368,2.43,3.775,0.167,254.0,0.331,0.154,5680.119,46.731,871.517,7.17,-100.0,-0.673,0.0,0.0,11.139,10.834,66.99,8142.667,64.37,18.166,2.105,8.893,52430.82,1.385,1.795,5.516,2855.221,23.49,38014.77,312.749,36.492,72.505,5.287,4.785,95.277,1583.803,13.03,11580.974,-11.971,-2.468,2206.254,18.151,20.242,22.088,16.35,0.905,0.283,106.219,4509.523,37.1,12910.938,57.636,24.625,4.641,3.376,118.601,4968.984,40.88,14416.047,63.508,27.495,2.62,3.911,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.339,0.577,170.741,399.901,3.29,20753.68,-10.001,-1.306,1428.392,11.751,5.111,39.583,7.788,2.43,0.0,18.469,1.214,295.368,0.0,946.685,3.775,0.0,1.806,7824.206,431.35,4.641,3.376,118.601,4968.984,40.88,14416.047,63.508,27.495,16.769,0.008,0.06,2.431,0.02,7.315,0.031,0.014,44.078,1.149,3.812,161.662,1.33,463.35,2.066,0.884;;;;;;;;;;;;,Europe
Austria,2006.0,100.0,100.0,,26.64,21.62,0.0,40.66,65.285805,50921.684,3.38,74099.99847,28.59121,3.454041836,40635.28182,109.0,83871.0,47.516231,14.550072,AUT,8267771.0,323236888576.0,300.675,2.171,349.899,2.893,390.674,3.23,5.192,0.679,253.014,-0.119,-0.056,5645.395,46.675,891.413,7.37,,0.0,0.0,0.0,11.847,10.96,68.55,8291.231,62.21,17.793,-1.272,-5.485,51509.012,1.318,-2.134,-6.673,2606.507,21.55,37020.414,306.076,34.641,71.872,-6.03,-5.745,89.532,1290.553,10.67,10829.038,15.544,2.821,2536.624,20.972,17.152,21.024,15.74,-3.879,-4.763,101.456,4313.134,35.66,12271.263,57.322,23.824,4.733,1.187,119.788,4917.892,40.66,14488.603,65.359,28.128,6.34,9.249,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.511,-0.872,169.869,424.54,3.51,20545.979,3.537,0.416,1471.634,12.167,5.642,39.888,10.388,3.23,0.0,33.384,2.6,390.674,0.0,1256.501,5.192,0.0,2.439,7524.398,425.865,4.733,1.187,119.788,4917.892,40.66,14488.603,65.359,28.128,6.511,0.004,0.064,2.419,0.02,7.705,0.032,0.015,31.663,1.175,4.987,211.665,1.75,603.235,2.813,1.171;;;;;;;;;;;;,Europe
Austria,2007.0,100.0,100.0,,28.99,19.74,0.0,43.17,68.62184,49669.195,3.2,71239.99786,30.98061,3.727415301,46855.77175,109.0,83871.0,47.516231,14.550072,AUT,8294720.0,336303980544.0,19.034,0.551,415.147,3.444,489.468,4.06,6.462,0.82,232.691,-3.492,-1.63,5430.554,45.045,795.687,6.6,,0.0,0.0,0.0,10.505,10.723,68.85,8300.461,62.83,18.501,-1.362,-5.799,50642.531,1.249,-4.273,-13.079,2370.182,19.66,35323.309,292.997,31.291,69.75,-5.387,-4.823,84.709,1193.53,9.9,10212.395,-2.045,-0.429,2476.686,20.543,15.757,20.166,14.62,3.922,3.32,104.776,4466.697,37.05,12631.644,58.969,24.943,7.021,7.28,127.069,5204.515,43.17,15319.22,68.709,30.25,6.02,8.744,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.901,-6.626,163.243,380.965,3.16,19680.359,2.478,0.302,1503.202,12.469,5.029,38.861,13.02,4.06,0.0,25.328,2.632,489.468,0.0,1569.703,6.462,0.0,3.1,7574.698,420.066,7.021,7.28,127.069,5204.515,43.17,15319.22,68.709,30.25,8.27,0.005,0.069,2.411,0.02,8.263,0.032,0.016,16.225,0.773,5.76,245.94,2.04,694.464,3.247,1.371;;;;;;;;;;;;,Europe
Austria,2008.0,100.0,100.0,,29.68,19.97,0.0,44.53,69.03876,50475.008,3.18,70730.00336,31.345478,1.460423676,51708.76575,109.0,83871.0,47.516231,14.550072,AUT,8321134.0,342892511232.0,12.255,0.422,464.544,3.866,499.932,4.16,6.462,0.91,220.41,-1.154,-0.52,5350.832,44.525,664.573,5.53,,0.0,0.0,0.0,8.59,10.487,69.24,8320.98,64.38,18.808,1.07,4.495,51021.918,1.238,0.313,0.917,2385.492,19.85,35321.387,293.914,30.833,69.228,7.055,5.977,90.686,1343.567,11.18,10898.219,-17.128,-3.519,2045.959,17.025,17.366,21.36,14.19,3.441,2.932,107.708,4606.344,38.33,12943.92,59.537,25.369,3.808,3.578,130.646,5351.434,44.53,15700.529,69.167,30.772,4.86,7.019,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.781,-4.54,158.703,377.352,3.14,19072.338,-1.962,-0.245,1469.038,12.224,4.877,37.381,13.336,4.16,0.0,2.424,0.316,499.932,0.0,1602.688,6.462,0.0,3.141,7736.926,424.56,3.808,3.578,130.646,5351.434,44.53,15700.529,69.167,30.772,24.265,0.016,0.085,3.605,0.03,10.172,0.047,0.02,-1.273,-0.109,5.652,241.554,2.01,679.204,3.122,1.331;;;;;;;;;;;;,Europe
Austria,2009.0,100.0,100.0,,31.31,19.12,0.0,47.18,71.161385,48765.184,3.14,64419.99817,34.322514,-3.764578178,47963.1794,109.0,83871.0,47.516231,14.550072,AUT,8342939.0,331119034368.0,27.111,1.048,588.945,4.914,513.009,4.28,6.464,1.199,195.892,-24.849,-11.064,4010.67,33.461,450.681,3.76,,0.0,0.0,0.0,5.679,8.166,66.99,8029.544,66.21,20.471,-3.483,-14.788,49116.078,1.238,-7.679,-22.569,2280.971,19.03,32523.871,271.345,28.742,66.218,-2.609,-2.366,88.319,1479.095,12.34,10586.094,1.795,0.306,2077.232,17.33,18.638,21.553,12.97,6.697,6.504,114.212,4902.35,40.9,13689.611,61.773,27.872,7.628,7.782,138.428,5655.082,47.18,16592.205,71.258,33.782,0.78,1.164,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.758,-9.139,149.565,351.195,2.93,17927.105,0.653,0.08,1474.77,12.304,4.425,36.499,13.709,4.28,0.0,2.795,0.373,513.009,0.0,1643.18,6.464,0.0,3.346,7936.052,409.772,7.628,7.782,138.428,5655.082,47.18,16592.205,71.258,33.782,62.398,0.052,0.137,5.993,0.05,16.374,0.076,0.033,-2.845,-0.195,5.457,233.731,1.95,654.095,2.945,1.332;;;;;;;;;;;;,Europe
