country,year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable-electricity-generating-capacity-per-capita,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,Renewables (% equivalent primary energy),gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2),Latitude,Longitude,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,continent
Canada,2000,100.0,100.0,,22.04,155.56,69.16,363.7,73.5631,118875.336,9.31,514220.0,29.767817,4.917762744,24271.00206,4,9984670.0,56.130366,-106.346771,CAN,30683316.0,1137681367040.0,7.436,0.107,50.454,1.548,290.712,8.92,1.477,0.042,245.686,5.808,19.498,11575.944,355.188,3788.052,116.23,-5.164,-24.752,14813.407,454.524,19.249,9.738,567.99,18511.361,603.82,21.593,2.72,96.581,118875.336,3.206,2.766,63.421,5396.092,165.57,76803.211,2356.577,27.42,64.608,5.974,50.293,892.207,1167.736,35.83,29077.926,3.38,57.645,57459.457,1763.047,5.934,24.461,148.35,3.408,34.772,1054.936,11627.166,356.76,34381.41,59.084,28.922,2.627,33.159,1290.912,14283.007,438.25,42072.125,72.58,35.392,-35.83,-6.308,-0.94,-1.947,205.134,2356.003,72.29,6685.536,11.972,5.624,-0.571,-6.37,1109.182,440.304,13.51,36149.336,3.38,47.556,47411.711,1454.749,2.237,30.409,28.465,8.917,,-0.292,-0.083,290.615,,927.704,1.477,,0.78,19679.098,3647.49,3.36,35.107,1085.778,11927.003,365.96,35386.59,60.607,29.768,23.81,0.009,0.049,0.652,0.02,1.583,0.003,0.001,62.963,0.302,0.781,8.474,0.26,25.442,0.043,0.021,North America
Canada,2001,100.0,100.0,,21.53,159.93,72.86,339.58,72.05828,115218.68,9.04,506620.0,28.20141,1.405527589,23822.06012,4,9984670.0,56.130366,-106.346771,CAN,31002768.0,1161459924992.0,-0.273,-0.004,49.798,1.544,311.908,9.67,1.645,0.043,255.649,3.923,13.935,11906.132,369.123,3602.582,111.69,1.843,8.377,14930.969,462.901,19.003,10.334,565.46,18239.018,587.76,21.225,-2.067,-75.392,115218.68,3.076,-0.279,-6.569,5485.317,170.06,75799.945,2350.008,28.934,65.788,-5.804,-51.785,840.422,1364.072,42.29,27107.965,1.767,31.146,57872.004,1794.192,7.195,23.527,150.26,-7.075,-80.997,973.938,10693.238,331.52,31414.564,56.404,27.265,-4.673,-68.823,1222.09,13472.991,417.7,39418.73,71.066,34.212,-22.3,-3.944,5.351,9.573,214.708,2456.555,76.16,6925.439,12.958,6.011,2.82,31.281,1140.463,518.663,16.08,36785.844,0.867,12.609,47329.879,1467.357,2.736,31.927,30.875,9.672,,8.468,2.41,311.977,,995.894,1.646,,0.864,18958.307,3572.098,-6.645,-78.396,1007.382,11016.437,341.54,32493.289,58.109,28.201,19.231,0.009,0.058,0.645,0.02,1.855,0.003,0.002,24.621,0.186,0.967,10.644,0.33,31.176,0.056,0.027,North America
Canada,2002,100.0,100.0,,21.77,155.12,71.75,357.06,73.43517,117915.38,8.77,524349.9756,28.546556,3.422146171,24255.33858,4,9984670.0,56.130366,-106.346771,CAN,31322400.0,1199865593856.0,0.0,0.0,49.29,1.544,320.857,10.05,1.676,0.042,245.119,0.582,2.148,11853.223,371.271,3534.212,110.7,-13.922,-64.443,12721.185,398.458,18.456,10.052,578.48,18468.572,599.79,20.933,3.396,121.295,117915.383,3.078,3.361,78.98,5269.073,165.04,77547.969,2428.989,27.516,65.766,4.075,34.243,874.665,1239.688,38.83,27924.592,0.726,13.033,57697.551,1807.226,6.474,23.682,147.02,5.355,45.536,1019.475,11150.806,349.27,32547.789,58.232,27.603,4.066,42.314,1264.404,13879.843,434.75,40367.406,72.484,34.234,-21.31,-3.684,-1.526,-4.64,210.068,2394.452,75.0,6706.626,12.504,5.688,3.734,42.589,1183.052,495.173,15.51,37770.156,5.415,79.462,49383.797,1546.819,2.586,32.032,32.069,10.046,,3.866,1.194,320.732,,1023.843,1.675,,0.868,19148.916,3693.393,5.307,46.955,1054.336,11485.391,359.75,33660.781,59.979,28.547,16.129,0.009,0.066,0.639,0.02,2.119,0.003,0.002,23.1,0.216,1.182,13.09,0.41,37.741,0.068,0.032,North America
Canada,2003,100.0,100.0,,21.18,157.35,71.15,343.88,72.50952,117365.12,8.89,544539.978,27.180014,3.811090153,28300.4631,4,9984670.0,56.130366,-106.346771,CAN,31619456.0,1224575811584.0,8.889,0.137,53.167,1.681,297.918,9.42,1.601,0.045,251.636,-0.246,-0.914,11712.962,370.357,3464.955,109.56,-7.149,-28.488,11700.717,369.97,18.624,9.98,582.53,18423.152,588.27,20.162,0.477,17.628,117365.117,3.03,2.734,66.404,5301.483,167.63,78919.539,2495.393,28.495,67.243,2.65,23.183,897.848,1224.879,38.73,28395.428,-2.587,-46.756,55676.793,1760.47,6.584,24.194,148.03,-3.761,-44.629,974.846,10630.797,336.14,30830.57,57.14,26.269,-3.202,-48.776,1215.628,13303.203,420.64,38445.578,71.505,32.757,-5.74,-0.985,-0.838,-3.095,206.972,2352.033,74.37,6545.723,12.642,5.577,3.731,44.135,1227.187,611.649,19.34,38811.148,5.734,88.694,51724.887,1635.513,3.288,33.069,30.062,9.417,,-6.259,-2.007,297.832,,950.741,1.601,,0.81,18604.686,3711.021,-3.693,-45.68,1008.656,10951.168,346.27,31899.857,58.862,27.18,0.231,-0.0,0.066,0.633,0.02,2.09,0.003,0.002,70.37,0.819,2.001,21.822,0.69,63.287,0.117,0.054,North America
Canada,2004,100.0,100.0,,21.58,148.86,85.87,347.68,74.44069,118078.05,8.77,536419.9829,26.827923,3.914028782,32143.68141,4,9984670.0,56.130366,-106.346771,CAN,31911670.0,1265917231104.0,0.274,0.005,52.824,1.686,307.098,9.8,1.637,0.045,235.338,-5.536,-20.503,10963.204,349.854,3130.516,99.9,6.596,24.404,12358.297,394.374,16.692,9.285,587.97,18424.92,598.5,20.291,1.537,57.046,118078.047,2.977,0.544,13.58,5000.992,159.59,78622.414,2508.973,26.665,66.585,-2.189,-19.65,878.198,1267.248,40.44,27519.643,0.391,6.882,55382.621,1767.352,6.757,23.306,140.85,0.672,0.3,975.146,10604.271,338.4,30557.668,56.541,25.879,4.329,43.466,1259.095,13753.902,438.91,39455.621,73.335,33.415,-10.53,-1.791,20.688,41.228,248.2,2812.764,89.76,7777.733,14.997,6.587,4.379,53.734,1280.921,603.228,19.25,40139.574,3.221,52.677,52901.965,1688.19,3.216,33.994,31.298,9.805,,4.112,1.236,307.24,,980.771,1.638,,0.831,18754.895,3768.068,0.833,2.238,1010.894,10941.138,349.15,31677.885,58.338,26.828,-37.413,-0.025,0.041,0.313,0.01,1.288,0.002,0.001,36.957,0.722,2.723,29.456,0.94,85.334,0.157,0.072,North America
Canada,2005,100.0,100.0,,21.99,150.78,86.83,368.86,75.1381,117744.77,8.46,549030.0293,28.265476,4.995860869,36382.50792,4,9984670.0,56.130366,-106.346771,CAN,32215914.0,1310077878272.0,18.044,0.304,61.767,1.99,284.332,9.16,1.476,0.052,225.012,-0.431,-1.509,10812.824,348.345,3192.832,102.86,4.162,16.414,12751.074,410.788,16.577,9.183,596.65,18520.352,620.5,21.134,0.668,25.188,117744.773,2.895,-1.556,-39.04,4854.433,156.39,76668.094,2469.933,25.204,65.114,-0.26,-2.28,875.917,1144.776,36.88,27188.969,1.368,24.172,55609.922,1791.524,5.944,23.091,139.62,6.961,61.283,1036.429,11235.44,361.96,32171.334,58.334,27.323,5.783,64.228,1323.323,14406.234,464.11,41076.691,74.796,34.886,-23.85,-3.997,1.829,2.941,251.141,2837.107,91.4,7795.567,14.73,6.621,-2.752,-35.251,1245.67,516.825,16.65,38666.301,-1.708,-28.835,51507.32,1659.355,2.683,32.839,29.226,9.155,,-6.621,-2.072,284.189,,907.19,1.475,,0.77,19260.668,3793.256,6.794,61.288,1072.182,11569.126,372.71,33281.121,60.066,28.265,19.188,0.008,0.049,0.621,0.02,1.511,0.003,0.001,65.868,1.765,4.488,48.734,1.57,139.318,0.253,0.118,North America
Canada,2006,100.0,100.0,,21.92,139.71,92.44,360.48,76.42542,115946.31,8.25,540530.0293,27.616468,4.165817627,40504.06073,4,9984670.0,56.130366,-106.346771,CAN,32531864.0,1348293361664.0,0.909,0.018,61.723,2.008,274.807,8.94,1.469,0.053,216.508,-3.132,-10.912,10372.395,337.433,2948.494,95.92,-1.473,-6.052,12441.196,404.735,15.765,8.946,589.32,18115.164,608.43,20.778,-0.562,-21.306,115946.312,2.798,-0.217,-5.351,4513.421,146.83,75759.008,2464.582,24.133,65.34,-0.592,-5.182,870.735,1242.474,40.42,26765.604,0.137,2.449,55145.129,1793.974,6.643,23.084,131.73,-2.505,-32.322,1004.107,10847.52,352.89,30865.342,58.0,26.62,-0.531,-15.955,1307.368,14189.165,461.6,40187.312,75.867,34.66,-19.11,-3.243,6.436,14.483,265.624,2990.299,97.28,8165.051,15.989,7.042,0.862,10.743,1256.413,322.453,10.49,38621.012,5.831,96.756,53981.27,1756.111,1.724,33.309,28.532,8.938,,-2.374,-0.694,274.747,,877.05,1.469,,0.756,18702.586,3771.95,-2.231,-30.438,1041.744,11198.866,364.32,32022.26,59.879,27.618,23.529,0.011,0.06,0.615,0.02,1.837,0.003,0.002,57.776,2.549,7.037,75.926,2.47,216.307,0.406,0.187,North America
Canada,2007,100.0,100.0,,21.84,149.36,88.19,375.42,75.63339,119158.6,7.71,571630.0049,27.694315,6.868608857,44659.89514,4,9984670.0,56.130366,-106.346771,CAN,32862458.0,1379925884928.0,284.794,5.719,235.118,7.727,273.564,8.99,1.418,0.197,227.755,4.545,15.336,10734.733,352.77,3239.867,106.47,2.573,10.412,12632.872,415.147,16.788,9.009,603.24,18356.51,634.19,20.727,3.815,143.895,119158.602,2.838,4.661,114.875,4920.813,161.71,78492.523,2579.457,25.499,65.872,7.56,65.829,936.564,1308.788,43.01,28499.52,-2.63,-47.183,53154.609,1746.791,6.782,23.917,144.44,4.175,35.387,1039.494,11186.625,367.62,31631.662,57.967,26.546,3.579,29.019,1336.387,14377.501,472.48,40666.066,74.501,34.128,-30.95,-5.131,-4.575,-13.736,251.888,2824.804,92.83,7664.916,14.638,6.433,2.683,33.71,1290.123,372.157,12.23,39258.273,3.095,54.357,55092.312,1810.469,1.928,32.946,28.701,8.991,,0.593,0.169,273.597,,873.378,1.418,,0.733,19298.312,3915.844,5.745,42.755,1084.499,11552.696,379.65,33001.152,59.864,27.695,23.81,0.014,0.074,0.913,0.03,2.237,0.005,0.002,21.601,1.467,8.503,91.594,3.01,258.759,0.475,0.217,North America
Canada,2008,100.0,100.0,,21.91,141.33,88.3,385.21,77.01353,116479.15,7.44,550469.9707,28.590092,1.007622695,46710.50558,4,9984670.0,56.130366,-106.346771,CAN,33218542.0,1397938716672.0,20.219,1.562,279.626,9.289,240.227,7.98,1.256,0.24,213.475,-4.972,-17.539,10091.661,335.23,3034.45,100.8,-0.293,-1.216,12460.845,413.931,15.871,8.664,602.95,18151.008,635.11,21.172,-1.189,-46.577,116479.148,2.768,-2.852,-73.576,4529.398,150.46,75436.227,2505.881,23.69,64.764,-1.188,-11.126,925.439,1193.008,39.63,27859.102,-4.687,-81.875,50120.082,1664.916,6.24,23.918,135.58,2.684,21.268,1060.762,11363.834,377.49,31932.842,59.437,27.415,2.859,27.0,1363.386,14589.743,484.65,41042.934,76.31,35.236,-32.16,-5.334,2.715,5.232,257.12,2870.385,95.35,7740.266,15.013,6.645,-3.481,-44.911,1245.212,301.94,10.03,37485.457,-1.562,-28.288,53650.191,1782.181,1.579,32.182,25.47,7.979,,-11.257,-3.231,240.196,,766.755,1.256,,0.658,19119.141,3869.268,2.893,21.767,1106.266,11719.358,389.3,33302.668,61.296,28.591,34.615,0.025,0.098,1.204,0.04,2.961,0.006,0.003,25.978,2.143,10.646,114.093,3.79,320.482,0.597,0.275,North America
Canada,2009,100.0,100.0,,22.5,129.76,85.13,380.24,78.19636,110665.805,7.37,521320.0073,29.20945,-2.928400167,40876.31015,4,9984670.0,56.130366,-106.346771,CAN,33593920.0,1360538107904.0,-3.847,-0.357,265.864,8.931,266.12,8.94,1.456,0.24,204.327,-16.452,-55.152,8337.173,280.078,2521.885,84.72,-6.874,-28.454,11474.597,385.477,13.801,7.534,580.25,17272.471,613.87,21.354,-3.917,-151.569,110665.805,2.733,-4.545,-113.905,4168.314,140.03,71202.664,2391.977,22.811,64.34,-3.043,-28.163,897.275,1347.565,45.27,26709.455,-6.872,-114.408,46154.43,1550.508,7.375,24.135,125.43,-2.331,-31.125,1029.638,10974.902,368.69,30649.529,60.06,27.696,-2.258,-37.665,1325.722,14104.933,473.84,39463.152,77.189,35.66,-33.62,-5.794,-6.175,-17.365,239.755,2662.982,89.46,7136.86,14.573,6.449,-2.457,-30.589,1214.623,298.864,10.04,36156.031,-0.057,-1.017,53020.418,1781.164,1.636,32.671,28.545,8.942,,12.07,3.074,266.181,,849.703,1.457,,0.768,18273.248,3717.698,-1.322,-20.299,1085.967,11441.952,384.38,32326.289,62.616,29.211,211.429,0.206,0.304,3.274,0.11,9.061,0.018,0.008,75.31,7.902,18.548,197.655,6.64,552.13,1.082,0.499,North America
