country,cluster
Algeria,0
Argentina,2
Australia,2
Austria,2
Azerbaijan,0
Belarus,0
Belgium,2
Brazil,2
Bulgaria,0
Canada,2
Chile,2
China,0
Colombia,0
Croatia,0
Denmark,2
Ecuador,2
Estonia,0
Finland,2
France,2
Germany,2
Greece,0
Hungary,0
India,0
Indonesia,0
Iraq,0
Ireland,2
Israel,0
Italy,2
Japan,2
Kazakhstan,0
Latvia,0
Lithuania,0
Luxembourg,2
Malaysia,0
Mexico,0
Morocco,0
Netherlands,2
New Zealand,2
North Macedonia,0
Norway,1
Pakistan,0
Peru,0
Philippines,0
Poland,0
Portugal,2
Romania,0
Slovenia,2
South Africa,0
Spain,2
Sweden,1
Switzerland,1
Thailand,0
Trinidad and Tobago,2
Ukraine,0
United Kingdom,2
United States,2
Uzbekistan,0
