,Value_co2_emissions_kt_by_country_trend,Value_co2_emissions_kt_by_country_mean_change,Value_co2_emissions_kt_by_country_change_stability,Value_co2_emissions_kt_by_country_acceleration,Value_co2_emissions_kt_by_country_total_change,Value_co2_emissions_kt_by_country_volatility,Primary energy consumption per capita (kWh/person)_trend,Primary energy consumption per capita (kWh/person)_mean_change,Primary energy consumption per capita (kWh/person)_change_stability,Primary energy consumption per capita (kWh/person)_acceleration,Primary energy consumption per capita (kWh/person)_total_change,Primary energy consumption per capita (kWh/person)_volatility,fossil_share_energy_trend,fossil_share_energy_mean_change,fossil_share_energy_change_stability,fossil_share_energy_acceleration,fossil_share_energy_total_change,fossil_share_energy_volatility,Renewable energy share in the total final energy consumption (%)_trend,Renewable energy share in the total final energy consumption (%)_mean_change,Renewable energy share in the total final energy consumption (%)_change_stability,Renewable energy share in the total final energy consumption (%)_acceleration,Renewable energy share in the total final energy consumption (%)_total_change,Renewable energy share in the total final energy consumption (%)_volatility,energy_per_gdp_trend,energy_per_gdp_mean_change,energy_per_gdp_change_stability,energy_per_gdp_acceleration,energy_per_gdp_total_change,energy_per_gdp_volatility,gdp_per_capita_trend,gdp_per_capita_mean_change,gdp_per_capita_change_stability,gdp_per_capita_acceleration,gdp_per_capita_total_change,gdp_per_capita_volatility,gdp_growth_trend,gdp_growth_mean_change,gdp_growth_change_stability,gdp_growth_acceleration,gdp_growth_total_change,gdp_growth_volatility,Cluster
Algeria,-0.09912204312560824,0.8238886725068081,0.41278667365677196,1.6916195844582316,0.7157681244746268,-0.7767883245156466,-0.007054062219543047,0.8783019035320223,0.20072537738094354,0.8272010419087661,0.8691807869988536,-1.0565544362134753,0.1537535726578471,0.17399735431977428,0.23243229763301812,0.42021867793863066,0.3242579300486558,-0.7749894087721868,-0.20784873822247663,-0.6162885044273887,-0.6201053486605954,-0.1784626555347382,-0.8586424993918492,0.2570304768886106,0.2449839959559612,-0.13234956009064336,0.42175551757198554,0.45671099232571627,-0.2302675116911156,-0.6178323495658433,-0.8265760932606372,0.05219030486604192,0.12167573109512887,-0.6344176861013414,-0.20247098176416906,0.3746056706481365,-0.06765367673352472,0.09497547989968837,-0.1057021402640485,0.10250287576458916,0.5276089062872965,-0.5706102132734406,0
Argentina,-0.08088876497176983,0.16610423844992991,0.30404533924698524,0.771259889531851,0.004891156409252603,0.6525760227813966,0.07653382428106391,0.14287092178347724,0.18601583018630552,0.5530183808716355,0.07262747016662811,-0.1474908658945762,2.0235259574158717,0.44854305974874553,-0.9414917443235141,1.4039627487478714,0.5399034540504517,0.41291391099778124,-0.9333632186857038,-0.5153861464425888,-0.71602708182269,-0.5954565083340978,-0.6420036093109684,-0.07874939552217533,0.48441593393827337,0.7261773980265244,-0.6558724996558734,0.11992999946952905,0.7592092331005893,-0.13072752748883573,-0.8555887295624236,-0.5900626784137097,-0.47159964375419394,0.5520846622936804,-1.159299085572519,2.8165917670548044,1.8704914290775514,0.15547167066300716,-0.48465469935253813,-1.2051200901057963,5.3847532631522785,-0.11975127105258622,0
Australia,-0.06040572403188503,0.02975254688715243,0.4137439816483928,0.888707329831777,-0.05789727152568073,-1.4394082452995165,0.019403438578584096,-0.30792955272013084,0.15629072469966054,0.25236551759135484,-0.31685554128342897,-0.9282201768319747,0.23623757012115246,0.24425465307326047,-0.6835985196105949,0.2982952231100319,0.40072089377882336,-0.7412846517961648,-0.5685469223325756,-0.5820895796258733,0.10516422253396036,-0.04318362215435237,-0.6748433171392264,-0.22939609735219335,0.3634722702874658,0.2777369067321839,0.4205838755317589,-0.29920622544198827,0.23288958856805642,-0.9285131654453561,1.024128903607111,-0.21451403307074368,0.08838326779692303,0.4499902501637255,-0.39529017569805874,0.26178814953368,0.4028889643286347,0.05277008325840804,-3.25216006180345,0.12586887887498718,0.5660954123930866,-0.6093103549538676,4
Austria,-0.15604495258246112,-0.5047665159362332,-0.40973510856943435,-1.1876799239761353,-0.5496894517686509,0.09220352336646813,-0.22419261609816987,-0.3853248480034908,-4.164865263783862,-0.18979211712977873,-0.38729653629473065,-0.8217944413196698,-0.24425479621031837,-0.17305059364007977,-0.5962393522002852,-2.02821499131833,-0.20492482196155792,0.8719535988497437,1.1298110150723288,-0.165573430196961,0.3139448363002484,0.11720013377161076,-0.19466921640298196,-0.2740156913342773,0.4578473623294036,0.500386743827347,0.20754373585426064,-0.208481084046354,0.4942018255038019,-0.6881877574036515,0.9612178057413793,-0.3329437330937044,0.1907070482379073,0.2252043651839099,-0.41154311398397664,-0.6020696222961961,-0.014146843720482138,-0.17927948175055858,0.2256391537064507,-0.43202190852564826,-0.5262740352293248,-0.29655230152209316,4
Azerbaijan,-0.15729079065240129,-0.8164454679704832,-0.24862294786150488,-0.6271193573651679,-0.8539267133900401,1.483017834836724,-0.16164262129386883,-0.7812437589633697,0.15910979684681595,-0.6664231165204294,-0.8245228334857183,1.09824339207462,-0.17953762211543858,-0.24923247949953314,0.4103594116377333,-0.014442270763588507,-0.14254549604336852,-0.45689032015174463,0.15357617157756873,0.4016506331372651,0.3135247604430689,0.7873694548651069,0.372213694884381,0.30342155911049296,-2.717915408037107,-3.9225123537659887,0.41525470245034296,-1.7231039468565015,-2.953554462009502,2.4072958384971277,-0.6879596311209042,3.2309976776341562,0.22382721579492526,-0.5571124312789322,4.320715071873003,2.2570910823916934,2.4655119712701357,0.14141963674650507,0.14939685540563946,0.1204389892752365,0.8133040326118507,-0.5230143436872032,2
Belarus,-0.1452552851764126,-0.2472799873438646,0.26835407662526756,0.49298135541624377,-0.3201619456732406,-0.43749181694401035,0.25064561119862583,0.3774132119998776,0.18834741242250846,0.2593686270366447,0.2863434259799372,0.1714539712769001,0.1724661584869395,0.17197382315361162,0.5481891284300584,0.39329478495684705,0.32229102717397284,-0.8274101218959119,0.1693218948597429,-0.04118144981495605,0.47714848881994565,-0.6932685165079289,-0.01726873273747968,-0.31264684154512834,-0.4084013977806788,-0.648573553412893,0.4052212878047925,0.19178217895811775,-0.7599026020482991,-0.1173850188697024,-0.679526460144541,1.5846841995338634,0.22326715398841412,-0.2122822666481391,1.480632306685347,0.8420769877630034,0.6886202310878612,0.0328184911184891,-1.53314501161299,-0.024465037417593993,0.2624165844870079,-0.6163315793029469,6
Belgium,-0.1874757555210305,-1.2481671732031239,0.3486607407281884,-0.109439484037255,-1.0859177381660476,-0.4563918653731427,-0.4180310181920911,-0.7730904968000452,0.1863340886502684,-0.2471676096526409,-0.7226295755214821,-0.5079016279106106,-0.0008560715089876246,-0.28777808205208355,0.2800687478311746,-0.92838135891967,-0.19875392633006614,-0.1927880673507617,0.5295355951765439,1.2758385402570906,0.610864178987886,0.37449165149622576,2.915473929314493,-0.20176386955952946,0.30668352244101665,0.2964990530750699,0.2915469846042064,-0.6047365704326315,0.24727051756579102,-0.5920602646773542,0.8189204908700115,-0.34977942188902056,0.18238567534029843,0.2259684522874281,-0.42642528485473913,-0.5638260183447039,0.015198392312637558,-0.32830675087178696,0.272650540760835,-0.7840819670341413,-0.13422056415878195,-0.08239043019619603,5
Brazil,-0.06823986523539721,-0.12446980936775201,0.3058243841899992,-0.16829816647967472,-0.21697503767139348,-0.3445606119151764,-0.05090296595219089,0.15548560060844413,0.19236728145375798,0.8578538221296593,0.10520037626039537,-0.6196957123118874,-1.4449002400395174,-1.6253957424922671,0.4272254042162614,-2.9944768872565657,-1.6880349904708254,0.5657276526183809,1.3203342667866276,-0.22289017137057546,0.47195574549638636,0.021147400612638863,-0.24834334341085423,-0.41186402564965263,0.4617508017600901,0.2811580500964889,0.4381865082074066,0.4181695997771843,0.23767713956034167,-0.9800578437263929,-0.604908365410588,0.18430971947438693,0.10372663827645111,1.603048299726383,-0.1242048458352813,0.7133861626801782,0.6132170348453726,0.3119633605915262,0.26610383863582193,0.06121036623947025,0.21909208931671384,-0.26735515812476046,5
Bulgaria,-0.1527417577003469,-0.5570566397847784,-2.1629996908438645,-1.8272195942766292,-0.6338534165770215,1.0604542702058726,-0.08084192410284595,-0.38270086644109225,-7.088228556774349,-1.312581536761404,-0.43545327085002244,0.3095857721563813,2.117404140714949,1.2309891138309834,0.056809171534974355,-1.2952809245665184,1.2667638958260359,1.2331530529471117,0.49114025455770544,0.14687898987456097,0.39972186924989245,1.0214035639857555,0.19772447240309157,-0.08827206063883522,-0.8825433712081857,-1.0189068783540498,0.398455938342804,-1.6237058991445505,-1.1047056564062634,0.24247804849778254,-0.6193590649353873,1.513438373054444,0.27984145621351686,-0.17809481181374515,1.5796264677051663,-0.0761777614935318,-0.018534056811242264,-0.04867928456640527,0.25010434048147256,-0.1327598956901113,-0.250539206200523,-0.577746441007142,2
Canada,-0.10162322594776542,-0.5261481669299048,-0.3488438680957001,0.40676390964826264,-0.5503488029728895,-0.4511909560515755,-0.4658700764780417,-0.7020130700217642,0.18678655530266103,0.37074577769165734,-0.6586446018867234,-0.7013600523304484,-0.14702140799119584,0.12424843403582642,-1.54640449255828,-0.4203287968939731,0.24028788289509073,-0.09431297013990253,-0.05874885083512457,-0.37486710749962804,-0.2649970024018463,-0.09011357841399764,-0.42874873653235746,-0.44089337650555194,0.16830029875310676,0.3788311157724406,0.36007025225446915,0.3603931670414678,0.35105383232440984,-0.8610236561452461,0.6689445079715473,-0.643924687102671,0.11943424013330778,-0.013785474109776314,-0.6381849270543956,-0.5394101509877726,-0.1176033913615066,-0.22659487581876891,0.2843217850014446,-0.4771487585875144,-0.1697410821081531,-0.28342271565359034,4
